flight_number,name,date,rocket,launchpad,success,payload_kg,orbit,landing_success,reused,customer_type
1,FalconSat,2006-03-24,Falcon 1,Kwajalein Atoll,False,20,LEO,,False,Government
2,DemoSat,2007-03-21,Falcon 1,Kwajalein Atoll,False,165,LEO,,False,Commercial
3,Trailblazer,2008-08-02,Falcon 1,Kwajalein Atoll,False,165,LEO,,False,Government
4,RatSat,2008-09-28,Falcon 1,Kwajalein Atoll,True,165,LEO,,False,Commercial
5,RazakSat,2009-07-13,Falcon 1,Kwajalein Atoll,True,200,LEO,,False,Commercial
6,COTS Demo Flight 1,2010-06-04,Falcon 9 v1.0,Cape Canaveral,True,0,LEO,,False,Government
7,COTS Demo Flight 2,2012-05-22,Falcon 9 v1.0,Cape Canaveral,True,525,LEO,,False,Government
8,CRS-1,2012-10-08,Falcon 9 v1.0,Cape Canaveral,True,400,LEO,,False,Government
9,CRS-2,2013-03-01,Falcon 9 v1.0,Cape Canaveral,True,677,LEO,,False,Government
10,CASSIOPE,2013-09-29,Falcon 9 v1.1,Vandenberg,True,500,Polar,,False,Commercial
11,SES-8,2013-12-03,Falcon 9 v1.1,Cape Canaveral,True,3170,GTO,,False,Commercial
12,Thaicom 6,2014-01-06,Falcon 9 v1.1,Cape Canaveral,True,3325,GTO,,False,Commercial
13,CRS-3,2014-04-18,Falcon 9 v1.1,Cape Canaveral,True,2296,LEO,,False,Government
14,OG2 Mission 1,2014-07-14,Falcon 9 v1.1,Cape Canaveral,True,1316,LEO,,False,Commercial
15,AsiaSat 8,2014-08-05,Falcon 9 v1.1,Cape Canaveral,True,4535,GTO,,False,Commercial
16,AsiaSat 6,2014-09-07,Falcon 9 v1.1,Cape Canaveral,True,4428,GTO,,False,Commercial
17,CRS-4,2014-09-21,Falcon 9 v1.1,Cape Canaveral,True,2216,LEO,,False,Government
18,CRS-5,2015-01-10,Falcon 9 v1.1,Cape Canaveral,True,2395,LEO,False,False,Government
19,DSCOVR,2015-02-11,Falcon 9 v1.1,Cape Canaveral,True,570,Heliocentric,False,False,Government
20,ABS-3A / Eutelsat,2015-03-02,Falcon 9 v1.1,Cape Canaveral,True,4159,GTO,,False,Commercial
21,CRS-6,2015-04-14,Falcon 9 v1.1,Cape Canaveral,True,1898,LEO,False,False,Government
22,TürkmenÄlem 52E,2015-04-27,Falcon 9 v1.1,Cape Canaveral,True,4707,GTO,,False,Commercial
23,CRS-7,2015-06-28,Falcon 9 v1.1,Cape Canaveral,False,1952,LEO,,False,Government
24,OG2 Mission 2,2015-12-22,Falcon 9 FT,Cape Canaveral,True,2034,LEO,True,False,Commercial
25,Jason-3,2016-01-17,Falcon 9 FT,Vandenberg,True,553,LEO,False,False,Government
26,SES-9,2016-03-04,Falcon 9 FT,Cape Canaveral,True,5271,GTO,False,False,Commercial
27,CRS-8,2016-04-08,Falcon 9 FT,Cape Canaveral,True,3175,LEO,True,False,Government
28,JCSAT-14,2016-05-06,Falcon 9 FT,Cape Canaveral,True,4696,GTO,True,False,Commercial
29,Thaicom 8,2016-05-27,Falcon 9 FT,Cape Canaveral,True,3100,GTO,True,False,Commercial
30,ABS-2A / Eutelsat,2016-06-15,Falcon 9 FT,Cape Canaveral,True,3600,GTO,False,False,Commercial
31,CRS-9,2016-07-18,Falcon 9 FT,Cape Canaveral,True,2257,LEO,True,False,Government
32,JCSAT-16,2016-08-14,Falcon 9 FT,Cape Canaveral,True,4600,GTO,True,False,Commercial
33,Amos-6,2016-09-01,Falcon 9 FT,Cape Canaveral,False,5500,GTO,,False,Commercial
34,Iridium NEXT 1,2017-01-14,Falcon 9 FT,Vandenberg,True,9600,Polar,True,False,Commercial
35,CRS-10,2017-02-19,Falcon 9 FT,Kennedy,True,2490,LEO,True,False,Government
36,EchoStar 23,2017-03-16,Falcon 9 FT,Kennedy,True,5600,GTO,,False,Commercial
37,SES-10,2017-03-30,Falcon 9 FT,Kennedy,True,5300,GTO,True,True,Commercial
38,NROL-76,2017-05-01,Falcon 9 FT,Kennedy,True,0,Classified,True,False,Government
39,Inmarsat-5 F4,2017-05-15,Falcon 9 FT,Kennedy,True,6070,GTO,,False,Commercial
40,CRS-11,2017-06-03,Falcon 9 FT,Kennedy,True,2708,LEO,True,True,Government
41,BulgariaSat-1,2017-06-23,Falcon 9 FT,Kennedy,True,3669,GTO,True,True,Commercial
42,Iridium NEXT 2,2017-06-25,Falcon 9 FT,Vandenberg,True,9600,Polar,True,False,Commercial
43,Intelsat 35e,2017-07-05,Falcon 9 FT,Kennedy,True,6761,GTO,,False,Commercial
44,CRS-12,2017-08-14,Falcon 9 FT,Kennedy,True,2935,LEO,True,False,Government
45,Formosat-5,2017-08-24,Falcon 9 FT,Vandenberg,True,475,SSO,True,False,Government
46,Boeing X-37B OTV-5,2017-09-07,Falcon 9 FT,Kennedy,True,0,Classified,True,False,Government
47,Iridium NEXT 3,2017-10-09,Falcon 9 FT,Vandenberg,True,9600,Polar,True,False,Commercial
48,SES-11,2017-10-11,Falcon 9 FT,Kennedy,True,5300,GTO,True,True,Commercial
49,Koreasat 5A,2017-10-30,Falcon 9 FT,Kennedy,True,3500,GTO,True,False,Commercial
50,OTV-5,2017-11-11,Falcon 9 FT,Kennedy,True,4900,GTO,True,True,Commercial
51,Zuma,2018-01-08,Falcon 9 FT,Kennedy,True,0,Classified,True,False,Government
52,GovSat-1,2018-01-31,Falcon 9 FT,Cape Canaveral,True,4230,GTO,False,True,Government
53,Paz / Starlink Demo,2018-02-22,Falcon 9 FT,Vandenberg,True,1560,SSO,False,False,Commercial
54,Falcon Heavy Demo,2018-02-06,Falcon Heavy,Kennedy,True,1635,Heliocentric,True,False,Commercial
55,Hispasat 30W-6,2018-03-06,Falcon 9 FT,Cape Canaveral,True,6092,GTO,False,True,Commercial
56,Iridium NEXT 4,2018-03-30,Falcon 9 FT,Vandenberg,True,9600,Polar,True,True,Commercial
57,CRS-14,2018-04-02,Falcon 9 FT,Cape Canaveral,True,2647,LEO,False,True,Government
58,Transiting Exoplanet Survey,2018-04-18,Falcon 9 FT,Cape Canaveral,True,362,HEO,True,False,Government
59,Bangabandhu Satellite-1,2018-05-11,Falcon 9 Block 5,Kennedy,True,3700,GTO,True,False,Government
60,Iridium NEXT 5,2018-05-22,Falcon 9 Block 5,Vandenberg,True,9600,Polar,True,False,Commercial
61,SES-12,2018-06-04,Falcon 9 Block 5,Cape Canaveral,True,5384,GTO,False,False,Commercial
62,CRS-15,2018-06-29,Falcon 9 Block 5,Cape Canaveral,True,2697,LEO,False,True,Government
63,Telstar 19V,2018-07-22,Falcon 9 Block 5,Cape Canaveral,True,7075,GTO,True,True,Commercial
64,Iridium NEXT 6,2018-07-25,Falcon 9 Block 5,Vandenberg,True,9600,Polar,True,True,Commercial
65,Telstar 18V,2018-09-10,Falcon 9 Block 5,Cape Canaveral,True,7060,GTO,True,True,Commercial
66,SAOCOM 1A,2018-10-08,Falcon 9 Block 5,Vandenberg,True,3000,SSO,True,False,Government
67,Es'hail-2,2018-11-15,Falcon 9 Block 5,Kennedy,True,3000,GTO,True,True,Commercial
68,SSO-A,2018-12-03,Falcon 9 Block 5,Vandenberg,True,4000,SSO,True,True,Commercial
69,GPS III SV01,2018-12-23,Falcon 9 Block 5,Cape Canaveral,True,3880,MEO,True,False,Government
