flight_number,name,date,rocket,launchpad,success,payload_kg,orbit,landing_success,reused,customer_type,year,month,month_name,landing_attempted,era,payload_category,launch_num_in_year
1,FalconSat,2006-03-24,Falcon 1,Kwajalein Atoll,False,20,LEO,False,False,Government,2006,3,Mar,False,Falcon 1 Era,Light (<1t),1
2,DemoSat,2007-03-21,Falcon 1,Kwajalein Atoll,False,165,LEO,False,False,Commercial,2007,3,Mar,False,Falcon 1 Era,Light (<1t),1
3,Trailblazer,2008-08-02,Falcon 1,Kwajalein Atoll,False,165,LEO,False,False,Government,2008,8,Aug,False,Falcon 1 Era,Light (<1t),1
4,RatSat,2008-09-28,Falcon 1,Kwajalein Atoll,True,165,LEO,False,False,Commercial,2008,9,Sep,False,Falcon 1 Era,Light (<1t),2
5,RazakSat,2009-07-13,Falcon 1,Kwajalein Atoll,True,200,LEO,False,False,Commercial,2009,7,Jul,False,Falcon 1 Era,Light (<1t),1
6,COTS Demo Flight 1,2010-06-04,Falcon 9 v1.0,Cape Canaveral,True,0,LEO,False,False,Government,2010,6,Jun,False,Early F9,Unknown/Classified,1
7,COTS Demo Flight 2,2012-05-22,Falcon 9 v1.0,Cape Canaveral,True,525,LEO,False,False,Government,2012,5,May,False,Early F9,Light (<1t),1
8,CRS-1,2012-10-08,Falcon 9 v1.0,Cape Canaveral,True,400,LEO,False,False,Government,2012,10,Oct,False,Early F9,Light (<1t),2
9,CRS-2,2013-03-01,Falcon 9 v1.0,Cape Canaveral,True,677,LEO,False,False,Government,2013,3,Mar,False,Early F9,Light (<1t),1
10,CASSIOPE,2013-09-29,Falcon 9 v1.1,Vandenberg,True,500,Polar,False,False,Commercial,2013,9,Sep,False,Early F9,Light (<1t),2
11,SES-8,2013-12-03,Falcon 9 v1.1,Cape Canaveral,True,3170,GTO,False,False,Commercial,2013,12,Dec,False,Early F9,Medium (1–5t),3
12,Thaicom 6,2014-01-06,Falcon 9 v1.1,Cape Canaveral,True,3325,GTO,False,False,Commercial,2014,1,Jan,False,Early F9,Medium (1–5t),1
13,CRS-3,2014-04-18,Falcon 9 v1.1,Cape Canaveral,True,2296,LEO,False,False,Government,2014,4,Apr,False,Early F9,Medium (1–5t),2
14,OG2 Mission 1,2014-07-14,Falcon 9 v1.1,Cape Canaveral,True,1316,LEO,False,False,Commercial,2014,7,Jul,False,Early F9,Medium (1–5t),3
15,AsiaSat 8,2014-08-05,Falcon 9 v1.1,Cape Canaveral,True,4535,GTO,False,False,Commercial,2014,8,Aug,False,Early F9,Medium (1–5t),4
16,AsiaSat 6,2014-09-07,Falcon 9 v1.1,Cape Canaveral,True,4428,GTO,False,False,Commercial,2014,9,Sep,False,Early F9,Medium (1–5t),5
17,CRS-4,2014-09-21,Falcon 9 v1.1,Cape Canaveral,True,2216,LEO,False,False,Government,2014,9,Sep,False,Early F9,Medium (1–5t),6
18,CRS-5,2015-01-10,Falcon 9 v1.1,Cape Canaveral,True,2395,LEO,False,False,Government,2015,1,Jan,True,Early F9,Medium (1–5t),1
19,DSCOVR,2015-02-11,Falcon 9 v1.1,Cape Canaveral,True,570,Heliocentric,False,False,Government,2015,2,Feb,True,Early F9,Light (<1t),2
20,ABS-3A / Eutelsat,2015-03-02,Falcon 9 v1.1,Cape Canaveral,True,4159,GTO,False,False,Commercial,2015,3,Mar,False,Early F9,Medium (1–5t),3
21,CRS-6,2015-04-14,Falcon 9 v1.1,Cape Canaveral,True,1898,LEO,False,False,Government,2015,4,Apr,True,Early F9,Medium (1–5t),4
22,TürkmenÄlem 52E,2015-04-27,Falcon 9 v1.1,Cape Canaveral,True,4707,GTO,False,False,Commercial,2015,4,Apr,False,Early F9,Medium (1–5t),5
23,CRS-7,2015-06-28,Falcon 9 v1.1,Cape Canaveral,False,1952,LEO,False,False,Government,2015,6,Jun,False,Early F9,Medium (1–5t),6
24,OG2 Mission 2,2015-12-22,Falcon 9 FT,Cape Canaveral,True,2034,LEO,True,False,Commercial,2015,12,Dec,True,Early F9,Medium (1–5t),7
25,Jason-3,2016-01-17,Falcon 9 FT,Vandenberg,True,553,LEO,False,False,Government,2016,1,Jan,True,F9 Reuse Begins,Light (<1t),1
26,SES-9,2016-03-04,Falcon 9 FT,Cape Canaveral,True,5271,GTO,False,False,Commercial,2016,3,Mar,True,F9 Reuse Begins,Heavy (5–10t),2
27,CRS-8,2016-04-08,Falcon 9 FT,Cape Canaveral,True,3175,LEO,True,False,Government,2016,4,Apr,True,F9 Reuse Begins,Medium (1–5t),3
28,JCSAT-14,2016-05-06,Falcon 9 FT,Cape Canaveral,True,4696,GTO,True,False,Commercial,2016,5,May,True,F9 Reuse Begins,Medium (1–5t),4
29,Thaicom 8,2016-05-27,Falcon 9 FT,Cape Canaveral,True,3100,GTO,True,False,Commercial,2016,5,May,True,F9 Reuse Begins,Medium (1–5t),5
30,ABS-2A / Eutelsat,2016-06-15,Falcon 9 FT,Cape Canaveral,True,3600,GTO,False,False,Commercial,2016,6,Jun,True,F9 Reuse Begins,Medium (1–5t),6
31,CRS-9,2016-07-18,Falcon 9 FT,Cape Canaveral,True,2257,LEO,True,False,Government,2016,7,Jul,True,F9 Reuse Begins,Medium (1–5t),7
32,JCSAT-16,2016-08-14,Falcon 9 FT,Cape Canaveral,True,4600,GTO,True,False,Commercial,2016,8,Aug,True,F9 Reuse Begins,Medium (1–5t),8
33,Amos-6,2016-09-01,Falcon 9 FT,Cape Canaveral,False,5500,GTO,False,False,Commercial,2016,9,Sep,False,F9 Reuse Begins,Heavy (5–10t),9
34,Iridium NEXT 1,2017-01-14,Falcon 9 FT,Vandenberg,True,9600,Polar,True,False,Commercial,2017,1,Jan,True,F9 Reuse Begins,Heavy (5–10t),1
35,CRS-10,2017-02-19,Falcon 9 FT,Kennedy,True,2490,LEO,True,False,Government,2017,2,Feb,True,F9 Reuse Begins,Medium (1–5t),2
36,EchoStar 23,2017-03-16,Falcon 9 FT,Kennedy,True,5600,GTO,False,False,Commercial,2017,3,Mar,False,F9 Reuse Begins,Heavy (5–10t),3
37,SES-10,2017-03-30,Falcon 9 FT,Kennedy,True,5300,GTO,True,True,Commercial,2017,3,Mar,True,F9 Reuse Begins,Heavy (5–10t),4
38,NROL-76,2017-05-01,Falcon 9 FT,Kennedy,True,0,Classified,True,False,Government,2017,5,May,True,F9 Reuse Begins,Unknown/Classified,5
39,Inmarsat-5 F4,2017-05-15,Falcon 9 FT,Kennedy,True,6070,GTO,False,False,Commercial,2017,5,May,False,F9 Reuse Begins,Heavy (5–10t),6
40,CRS-11,2017-06-03,Falcon 9 FT,Kennedy,True,2708,LEO,True,True,Government,2017,6,Jun,True,F9 Reuse Begins,Medium (1–5t),7
41,BulgariaSat-1,2017-06-23,Falcon 9 FT,Kennedy,True,3669,GTO,True,True,Commercial,2017,6,Jun,True,F9 Reuse Begins,Medium (1–5t),8
42,Iridium NEXT 2,2017-06-25,Falcon 9 FT,Vandenberg,True,9600,Polar,True,False,Commercial,2017,6,Jun,True,F9 Reuse Begins,Heavy (5–10t),9
43,Intelsat 35e,2017-07-05,Falcon 9 FT,Kennedy,True,6761,GTO,False,False,Commercial,2017,7,Jul,False,F9 Reuse Begins,Heavy (5–10t),10
44,CRS-12,2017-08-14,Falcon 9 FT,Kennedy,True,2935,LEO,True,False,Government,2017,8,Aug,True,F9 Reuse Begins,Medium (1–5t),11
45,Formosat-5,2017-08-24,Falcon 9 FT,Vandenberg,True,475,SSO,True,False,Government,2017,8,Aug,True,F9 Reuse Begins,Light (<1t),12
46,Boeing X-37B OTV-5,2017-09-07,Falcon 9 FT,Kennedy,True,0,Classified,True,False,Government,2017,9,Sep,True,F9 Reuse Begins,Unknown/Classified,13
47,Iridium NEXT 3,2017-10-09,Falcon 9 FT,Vandenberg,True,9600,Polar,True,False,Commercial,2017,10,Oct,True,F9 Reuse Begins,Heavy (5–10t),14
48,SES-11,2017-10-11,Falcon 9 FT,Kennedy,True,5300,GTO,True,True,Commercial,2017,10,Oct,True,F9 Reuse Begins,Heavy (5–10t),15
49,Koreasat 5A,2017-10-30,Falcon 9 FT,Kennedy,True,3500,GTO,True,False,Commercial,2017,10,Oct,True,F9 Reuse Begins,Medium (1–5t),16
50,OTV-5,2017-11-11,Falcon 9 FT,Kennedy,True,4900,GTO,True,True,Commercial,2017,11,Nov,True,F9 Reuse Begins,Medium (1–5t),17
51,Zuma,2018-01-08,Falcon 9 FT,Kennedy,True,0,Classified,True,False,Government,2018,1,Jan,True,F9 Reuse Begins,Unknown/Classified,1
52,GovSat-1,2018-01-31,Falcon 9 FT,Cape Canaveral,True,4230,GTO,False,True,Government,2018,1,Jan,True,F9 Reuse Begins,Medium (1–5t),2
54,Falcon Heavy Demo,2018-02-06,Falcon Heavy,Kennedy,True,1635,Heliocentric,True,False,Commercial,2018,2,Feb,True,F9 Reuse Begins,Medium (1–5t),3
53,Paz / Starlink Demo,2018-02-22,Falcon 9 FT,Vandenberg,True,1560,SSO,False,False,Commercial,2018,2,Feb,True,F9 Reuse Begins,Medium (1–5t),4
55,Hispasat 30W-6,2018-03-06,Falcon 9 FT,Cape Canaveral,True,6092,GTO,False,True,Commercial,2018,3,Mar,True,F9 Reuse Begins,Heavy (5–10t),5
56,Iridium NEXT 4,2018-03-30,Falcon 9 FT,Vandenberg,True,9600,Polar,True,True,Commercial,2018,3,Mar,True,F9 Reuse Begins,Heavy (5–10t),6
57,CRS-14,2018-04-02,Falcon 9 FT,Cape Canaveral,True,2647,LEO,False,True,Government,2018,4,Apr,True,F9 Reuse Begins,Medium (1–5t),7
58,Transiting Exoplanet Survey,2018-04-18,Falcon 9 FT,Cape Canaveral,True,362,HEO,True,False,Government,2018,4,Apr,True,F9 Reuse Begins,Light (<1t),8
59,Bangabandhu Satellite-1,2018-05-11,Falcon 9 Block 5,Kennedy,True,3700,GTO,True,False,Government,2018,5,May,True,F9 Reuse Begins,Medium (1–5t),9
60,Iridium NEXT 5,2018-05-22,Falcon 9 Block 5,Vandenberg,True,9600,Polar,True,False,Commercial,2018,5,May,True,F9 Reuse Begins,Heavy (5–10t),10
61,SES-12,2018-06-04,Falcon 9 Block 5,Cape Canaveral,True,5384,GTO,False,False,Commercial,2018,6,Jun,True,F9 Reuse Begins,Heavy (5–10t),11
62,CRS-15,2018-06-29,Falcon 9 Block 5,Cape Canaveral,True,2697,LEO,False,True,Government,2018,6,Jun,True,F9 Reuse Begins,Medium (1–5t),12
63,Telstar 19V,2018-07-22,Falcon 9 Block 5,Cape Canaveral,True,7075,GTO,True,True,Commercial,2018,7,Jul,True,F9 Reuse Begins,Heavy (5–10t),13
64,Iridium NEXT 6,2018-07-25,Falcon 9 Block 5,Vandenberg,True,9600,Polar,True,True,Commercial,2018,7,Jul,True,F9 Reuse Begins,Heavy (5–10t),14
65,Telstar 18V,2018-09-10,Falcon 9 Block 5,Cape Canaveral,True,7060,GTO,True,True,Commercial,2018,9,Sep,True,F9 Reuse Begins,Heavy (5–10t),15
66,SAOCOM 1A,2018-10-08,Falcon 9 Block 5,Vandenberg,True,3000,SSO,True,False,Government,2018,10,Oct,True,F9 Reuse Begins,Medium (1–5t),16
67,Es'hail-2,2018-11-15,Falcon 9 Block 5,Kennedy,True,3000,GTO,True,True,Commercial,2018,11,Nov,True,F9 Reuse Begins,Medium (1–5t),17
68,SSO-A,2018-12-03,Falcon 9 Block 5,Vandenberg,True,4000,SSO,True,True,Commercial,2018,12,Dec,True,F9 Reuse Begins,Medium (1–5t),18
69,GPS III SV01,2018-12-23,Falcon 9 Block 5,Cape Canaveral,True,3880,MEO,True,False,Government,2018,12,Dec,True,F9 Reuse Begins,Medium (1–5t),19
70,Iridium NEXT 7,2019-01-11,Falcon 9 Block 5,Vandenberg,True,9600,Polar,True,True,Commercial,2019,1,Jan,True,Block 5 Dominance,Heavy (5–10t),1
71,Crew Dragon Demo-1,2019-03-02,Falcon 9 Block 5,Kennedy,True,12055,LEO,True,False,Government,2019,3,Mar,True,Block 5 Dominance,Super Heavy (>10t),2
72,Arabsat-6A,2019-04-11,Falcon Heavy,Kennedy,True,6465,GTO,True,False,Commercial,2019,4,Apr,True,Block 5 Dominance,Heavy (5–10t),3
73,CRS-17,2019-05-04,Falcon 9 Block 5,Cape Canaveral,True,2723,LEO,True,True,Government,2019,5,May,True,Block 5 Dominance,Medium (1–5t),4
74,Starlink v0.9,2019-05-24,Falcon 9 Block 5,Cape Canaveral,True,18500,LEO,True,True,Commercial,2019,5,May,True,Block 5 Dominance,Super Heavy (>10t),5
75,RADARSAT Constellation,2019-06-12,Falcon 9 Block 5,Vandenberg,True,4350,SSO,True,False,Government,2019,6,Jun,True,Block 5 Dominance,Medium (1–5t),6
